language,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_var,mfcc_1_var,mfcc_2_var,mfcc_3_var,mfcc_4_var,mfcc_5_var,mfcc_6_var,mfcc_7_var,mfcc_8_var,mfcc_9_var,mfcc_10_var,mfcc_11_var,mfcc_12_var
Bengali,-411.77513450284613,133.45375013865478,9.761276928863513,23.31887249736273,6.478212214191805,6.237487374559442,-6.340765358686711,2.242582649575814,1.4204496159628226,-7.056090710591383,-2.9065618083065554,-1.2332381414188347,-3.6422712839131344,11120.388947906371,3541.511388653768,1502.574134403736,783.1913148459226,558.7387303289813,351.9718140416468,284.06185423180057,180.82414403997316,165.14746575960874,161.1524114823022,150.52409412806398,101.74807031510764,103.47167474379057
Gujarati,-361.2152460510254,145.40532987470627,-2.5484582385708463,-2.8592496866412227,2.824398199987138,-0.08722969359435956,-12.067418690118473,-3.4740348232233402,-3.7741862462457734,-12.572431720525737,-6.899254216807353,-3.258420964284119,-5.25376727901646,9834.263293933136,3175.078938986206,884.3985298614502,343.54264543557167,259.94104752388,202.76298048701287,309.5372927274704,169.01035251255036,120.33401508140564,185.127657425642,99.59773787837028,116.74358400213718,142.97402581338883
Hindi,-390.55641359081864,102.48894630819663,0.2702202845208875,32.6580227347937,-7.5239590293530725,17.11611294116031,-11.957157676191176,-0.16007162411642267,-4.519102937915418,-6.749425719084538,-1.580019876396862,-6.772368293937935,-1.2309164258050747,15932.114703727766,3761.727996469152,1071.7754125008641,871.2893437401865,764.373029776185,390.8589206272549,296.65588915580486,218.03670241935004,193.68326860093532,164.8581817473141,128.39851959923865,140.07685079146427,123.21700736472945
Kannada,-390.33900956726075,171.69908670393005,-65.75751720801797,-10.835609149131738,-1.4623830199215562,-28.001342545319954,-10.008896396041264,1.5430139799136668,-13.214287416786933,-12.782692994289008,0.4709823909341445,-9.419587907234487,-5.03525839617567,4174.485227434447,1147.3634678951696,945.3561590612665,526.2493660878077,445.86074108155964,250.58730075773596,157.155470443739,146.8316236577183,157.31678930745124,111.69453322772085,96.50813445940018,105.56990030762255,94.22310167381913
Malayalam,-404.41325712280275,117.12811005711555,6.032863261887769,14.802388475374249,8.234831155731541,9.191079709314216,-6.034842963258725,-15.622864285516886,-11.110136260866257,-7.463580479037645,-10.766192952449806,-8.290402218346594,-6.9041350241148844,12090.288257386732,4467.978121095419,1073.6058554848194,786.7220046213865,544.0863667209566,285.4167471800044,291.234791273278,324.0433940165758,180.00367472178937,137.1614566903472,172.03160809900166,136.27648719325364,90.72506547000948
Marathi,-382.8900415576729,151.23114567723897,2.255971165356531,14.925406248315877,12.343904411922974,14.168492200220106,-7.98723571087511,-0.938276696478707,0.8830858414886926,-6.716690121349958,-8.307990004672412,-2.2334514490177684,-2.7637533374701504,8196.876481373512,3796.282413531108,779.596220902259,573.9058932445131,440.0850257373621,282.0107136819258,232.50558574365837,126.7748832438853,128.31229084506654,122.44202147342124,117.12489513566692,86.19210199439136,93.0702215017122
Punjabi,-359.5449320404053,145.68985735120773,-2.4290023409766555,-2.8846965214106373,2.737913677681581,-6.303417591843754e-05,-12.059422281963752,-3.4775088711547433,-3.733755273077252,-12.574600546850917,-6.931128540187515,-3.2736802444910458,-5.26565100760397,9819.251622305324,3158.6046595581056,875.1909915550232,341.3763154520512,258.80141648693086,202.75386943736078,307.85703345508574,168.64344232234956,119.70515934267044,184.68657000436784,98.85523783738613,116.32329079866409,142.52058256368636
Tamil,-283.3022904257505,144.95940229986766,1.897789707267006,15.982578824920498,5.264618709130774,9.07064493944277,-13.93467131059229,-10.42900705855398,-5.058889039284764,-7.820085208584303,-13.094236624205235,-4.06273528323029,-7.486718530379933,9091.196120626288,2171.9311744297615,895.3985902893859,671.7156983492199,538.1589123522587,260.2567110774402,300.50597882677897,226.4407502749534,151.11158812673938,142.2314914553182,171.21410920814878,96.63503278069537,87.15527007175992
Telugu,-376.30315291671417,127.2262682185777,-12.221669447104928,20.57008970387546,12.39480589548566,5.736780188121479,-13.162896644438861,-0.7655785691473274,-6.696625039362993,-15.13682607177134,-2.8305639173211166,-9.664595700686167,-6.630098476376386,15047.403331488431,4271.252446970561,1686.5141439193615,1034.5476864659142,618.7161288479663,401.97089705435917,407.8018540990843,215.04844986836318,196.15733632482508,238.50786185568307,170.3726832691591,163.7984483740141,125.84821105417305
Urdu,-372.3649714920044,143.6958772357464,7.557186589556001,32.45308528025233,12.434291823342722,9.650687263197941,-7.864390255578078,2.8868789225161127,-2.6711549419871763,-8.580825808161125,-2.6268816708970006,-2.784444309727289,-3.168136238155581,8094.293020465174,2445.8766938011167,955.5439365159989,664.2557002849579,543.4403866485595,330.5886839574814,264.512813092804,166.32950972385407,163.98981828460694,176.02153383493425,122.88724245352745,113.68875454177856,126.8421511165619
